Name,Fifa,Fifa Ability Overall,Liga,Position,Player,Apps,Minutes played,Assists,Yel,Red,Pass success percentage,Aerials Won per game,Man of the match,Rating,Tackles,Interceptions per game,Fouls,Offside won per game,Clearances per game,Dribbled past per game,Outfielder Block Per Game,OwnG,Goals,Shots per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Key passes per game,Passes per game,Pass success percentage.1,Crosses,Long balls per game,Through balls per game
Laurent Ciman,L. Ciman,75,Ligue1,D(C),"Laurent Ciman Dijon, 34, D(C) ",7(2),715,-,3,0,87.5,1.9,-,6.54,1.2,0.8,1.2,0.3,4,1,1,-,-,1,-,0.6,-,0.2,-,0.3,63.1,87.5,-,7.1,-
Claudio Beauvue,C. Beauvue,75,Ligue1,"AM(CLR), FW","Claudio Beauvue Caen, 31, AM(CLR),FW ",16(9),1498,-,1,0,67,2.8,1,6.54,0.7,0.4,0.8,-,0.8,0.5,0.1,-,3,1.6,0.4,1.1,0.2,0.6,2.3,0.6,13.4,67,0.2,0.4,-
Majeed Waris,M. Waris,74,Ligue1,"AM(LR), FW","Majeed Waris Nantes, 27, AM(LR),FW ",25(8),2256,3,3,0,75.2,0.4,-,6.54,0.7,0.2,0.5,-,0.2,0.6,-,-,5,1.2,0.8,2.2,0.3,1.8,2.3,0.8,17,75.2,0.2,0.4,0.1
Abdallah Ndour,A. Ndour,69,Ligue1,Defender,"Abdallah Ndour Strasbourg, 25, Defender ",4,295,-,-,0,80,0.8,-,6.54,1.5,1.3,0.8,0.3,2,1.3,0.5,-,-,0.3,-,1,-,0.5,1,0.5,36.3,80,0.8,2.5,-
Pablo Chavarria,Pablo,76,Ligue1,"AM(R), FW","Pablo Chavarria Reims, 31, AM(R),FW ",23(7),1978,3,3,0,62.3,2.6,-,6.53,0.7,0.1,1.6,-,0.6,0.4,-,-,5,1.4,0.3,0.7,1,0.7,2.2,0.7,13,62.3,0.2,0.1,-
Yaya Sanogo,Y. Sanogo,73,Ligue1,FW,"Yaya Sanogo Toulouse, 26, FW ",13(8),1243,-,3,0,63.7,3.1,1,6.53,0.2,0.1,2,-,0.7,0.1,-,-,3,2.2,0.2,1.3,0.2,1.1,1.9,0.5,12.2,63.7,-,0.1,-
Tomás Koubek,T. Koubek,76,Ligue1,GK,"Tomás Koubek Rennes, 27, GK ",32(1),2925,-,1,0,63.5,0.2,2,6.53,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,23.3,63.5,-,6,-
Jean Eudes Aholou,J. Aholou,76,Ligue1,DMC,"Jean Eudes Aholou Monaco, 25, DMC ",12(5),1076,1,2,0,84.9,1.3,-,6.53,1.2,1,1.5,-,0.7,0.5,-,-,-,0.8,0.6,1,-,0.5,0.8,0.5,31.9,84.9,0.1,1.5,-
Rafael,Rafael,79,Ligue1,"D(LR), M(R)","Rafael Lyon, 29, D(LR),M(R) ",11(7),1019,1,4,1,83.2,1,-,6.53,1.7,0.8,1.2,0.1,1.2,0.4,0.1,1,-,0.1,0.6,1.1,0.1,0.8,0.9,0.6,32.7,83.2,0.4,0.6,0.1
Cesc Fàbregas,Cesc Fàbregas,83,Ligue1,"M(CL), FW","Cesc Fàbregas Monaco, 32, M(CL),FW ",12(1),969,-,2,0,84.7,0.5,-,6.53,1.1,0.7,0.5,-,0.2,1.5,0.2,-,1,0.8,0.2,1.3,-,0.5,0.8,1.4,55.3,84.7,0.7,3.2,-
